Subject,Filename,Channel,RMS_Slope,RMS_R2,MDF_Slope,MDF_R2,RMS_Expected,MDF_Expected,RMS_Abs_Slope,MDF_Abs_Slope
7,sub15.txt,1,0.07663303271713601,0.5442643159953873,-0.0256198347107438,0.02220666594171378,True,True,0.07663303271713601,0.0256198347107438
7,sub15.txt,2,0.09429656057250582,0.5794169093623753,-0.08468990902145983,0.17399294856517114,True,True,0.09429656057250582,0.08468990902145983
7,sub15.txt,3,0.1002339845824969,0.42630306744186813,-0.04430516008056115,0.04239464857097314,True,True,0.1002339845824969,0.04430516008056115
7,sub15.txt,4,0.06475259739415513,0.6827360609142967,-0.20061809847906104,0.4349747065843519,True,True,0.06475259739415513,0.20061809847906104
7,sub15.txt,5,0.25909481430240516,0.8428499918449674,-0.09932634210709076,0.18981703016474713,True,True,0.25909481430240516,0.09932634210709076
7,sub15.txt,6,0.0788439919938507,0.4284940102265098,-0.04993749565942079,0.05615535064906226,True,True,0.0788439919938507,0.04993749565942079
7,sub15.txt,7,0.4931682934154774,0.8666727872573462,0.11027849156191398,0.08313148907926489,True,False,0.4931682934154774,0.11027849156191398
7,sub15.txt,8,0.11787234169742186,0.7214932620182359,0.004309327036599767,0.0005092640212693788,True,False,0.11787234169742186,0.004309327036599767
8,sub2.txt,1,0.06675937630183806,0.44850541230990254,-0.002007083825265643,0.00013912785740598135,True,True,0.06675937630183806,0.002007083825265643
8,sub2.txt,2,0.042585145099908565,0.1639347854408351,-0.010323633585665671,0.004424297467058059,True,True,0.042585145099908565,0.010323633585665671
8,sub2.txt,3,-0.05669457037688463,0.28984111655648437,-0.09578790193763453,0.1587164776684452,False,True,0.05669457037688463,0.09578790193763453
8,sub2.txt,4,0.08350741540627714,0.5273654961434038,-0.1253559274949649,0.26008151365738746,True,True,0.08350741540627714,0.1253559274949649
8,sub2.txt,5,0.14728073840166717,0.6291429574917095,-0.14582957149802075,0.40395530677699504,True,True,0.14728073840166717,0.14582957149802075
8,sub2.txt,6,0.15105014466792493,0.40697631453382255,-0.07955413570386832,0.15975351476140706,True,True,0.15105014466792493,0.07955413570386832
8,sub2.txt,7,0.1300150831342575,0.33872763406514006,-0.06619904160011111,0.08979568785887047,True,True,0.1300150831342575,0.06619904160011111
8,sub2.txt,8,0.0656288581732649,0.29598116843851197,0.003003680811167444,0.0003224680132213084,True,False,0.0656288581732649,0.003003680811167444
9,sub3.txt,1,0.20265421770244843,0.8023779793528704,0.0061462601569553426,0.0017893680333256321,True,False,0.20265421770244843,0.0061462601569553426
9,sub3.txt,2,0.0889667793366859,0.687482915210806,-0.01999097159524967,0.019622238033000214,True,True,0.0889667793366859,0.01999097159524967
9,sub3.txt,3,0.015323593192733392,0.7424637282870282,-0.00929925689283978,0.004375364849435134,True,True,0.015323593192733392,0.00929925689283978
9,sub3.txt,4,-0.004645080344399051,0.03082300261907649,-0.11654628793666226,0.2666062912661111,False,True,0.004645080344399051,0.11654628793666226
9,sub3.txt,5,0.12816827089021152,0.8631275754792025,-0.008413778734634348,0.005880774198150672,True,True,0.12816827089021152,0.008413778734634348
9,sub3.txt,6,0.17864213206019516,0.5796959708722405,-0.023348843669699283,0.042025918561743696,True,True,0.17864213206019516,0.023348843669699283
9,sub3.txt,7,0.21921330557785787,0.6640980072182113,-0.044107229668726995,0.09635229100061403,True,True,0.21921330557785787,0.044107229668726995
9,sub3.txt,8,0.17601075082344003,0.7571349024263405,-0.05938259601361205,0.13020616788024128,True,True,0.17601075082344003,0.05938259601361205
10,sub4.txt,1,0.23167301398523138,0.6255417020258014,-0.062170984096117786,0.07552477434740877,True,True,0.23167301398523138,0.062170984096117786
10,sub4.txt,2,0.102756787219147,0.19019723616482573,-0.064507951941107,0.08495432008473548,True,True,0.102756787219147,0.064507951941107
10,sub4.txt,3,0.19617135486325912,0.33712660299901526,-0.08256823390513231,0.1496430977136243,True,True,0.19617135486325912,0.08256823390513231
10,sub4.txt,4,0.1982557879309661,0.3013425096900335,-0.046291409125633724,0.026841815044543013,True,True,0.1982557879309661,0.046291409125633724
10,sub4.txt,5,0.3891375810185416,0.7409776910231582,0.1060768108896451,0.11874971913312887,True,False,0.3891375810185416,0.1060768108896451
10,sub4.txt,6,0.11587225408864757,0.20092623834079448,-0.057219251336898376,0.07168975082467559,True,True,0.11587225408864757,0.057219251336898376
10,sub4.txt,7,0.10718792843204328,0.29233478594016743,-0.08240155566358771,0.12625404078261526,True,True,0.10718792843204328,0.08240155566358771
10,sub4.txt,8,0.1255995687686057,0.39664017796584694,-0.004781582054309328,0.000522365832354246,True,True,0.1255995687686057,0.004781582054309328
11,sub5.txt,1,0.14549452015401845,0.7714654878579837,0.022734217654003748,0.02053927304075159,True,False,0.14549452015401845,0.022734217654003748
11,sub5.txt,2,0.030989907585762297,0.16158548064115272,0.013931523022432111,0.0026631060780444834,True,False,0.030989907585762297,0.013931523022432111
11,sub5.txt,3,0.016943357346936357,0.04505039715793941,-0.07889436766442112,0.05595776091546922,True,True,0.016943357346936357,0.07889436766442112
11,sub5.txt,4,0.007395656819132669,0.007254806942660788,-0.12330717410931318,0.1330087065573759,True,True,0.007395656819132669,0.12330717410931318
11,sub5.txt,5,0.1323453255346759,0.7962594730612097,-0.10996249739565246,0.14995714710324673,True,True,0.1323453255346759,0.10996249739565246
11,sub5.txt,6,0.11500942989918911,0.5274289920946478,-0.007122022362664075,0.002668684657976772,True,True,0.11500942989918911,0.007122022362664075
11,sub5.txt,7,0.07336746258089419,0.5243327531692836,-0.0032398083200222178,0.00020366336828499975,True,True,0.07336746258089419,0.0032398083200222178
11,sub5.txt,8,0.21978234957749565,0.6030676850810314,-0.037797763733592615,0.023859812098615752,True,True,0.21978234957749565,0.037797763733592615
12,sub6.txt,1,0.06665456791695785,0.35811408053425453,0.02203972498090145,0.028797474969470053,True,False,0.06665456791695785,0.02203972498090145
12,sub6.txt,2,0.06301264734010757,0.426882382135116,0.01773734287103271,0.014302773243020098,True,False,0.06301264734010757,0.01773734287103271
12,sub6.txt,3,-0.016159231951257257,0.07860453117671842,-0.10927147718591569,0.25407540078666385,False,True,0.016159231951257257,0.10927147718591569
12,sub6.txt,4,0.056485344691411435,0.7500575990667032,-0.06369886797694282,0.11215083125934573,True,True,0.056485344691411435,0.06369886797694282
12,sub6.txt,5,0.05954261184543083,0.7004580926864818,-0.004198208208903393,0.000943663135650061,True,True,0.05954261184543083,0.004198208208903393
12,sub6.txt,6,0.15301064783817345,0.6039641505773389,-0.021317452600875055,0.016307146650868447,True,True,0.15301064783817345,0.021317452600875055
12,sub6.txt,7,0.20587510090108155,0.5459056544002966,-0.021213278699909712,0.03402091950884006,True,True,0.20587510090108155,0.021213278699909712
12,sub6.txt,8,0.08639587698680022,0.4551741033747411,9.02840475032978e-05,5.38226513700485e-07,True,False,0.08639587698680022,9.02840475032978e-05
13,sub7.txt,1,0.1252313279101465,0.5622953007004754,0.0050836863671088256,0.0005863604509756754,True,False,0.1252313279101465,0.0050836863671088256
13,sub7.txt,2,0.07978891539057517,0.21395203055155299,0.0564101673727342,0.052763189972856,True,False,0.07978891539057517,0.0564101673727342
13,sub7.txt,3,0.025818827057202152,0.012659775396125063,-0.05402805750399333,0.06517135876271024,True,True,0.025818827057202152,0.05402805750399333
13,sub7.txt,4,0.17197878751574783,0.48495410703765546,-0.04473227307451906,0.07934582806592236,True,True,0.17197878751574783,0.04473227307451906
13,sub7.txt,5,0.08521699343227379,0.1259120284838076,-0.04351691089659004,0.1213137712675327,True,True,0.08521699343227379,0.04351691089659004
13,sub7.txt,6,-0.022908617891101147,0.013371940531831637,-0.02580734773248142,0.015426703800193188,False,True,0.022908617891101147,0.02580734773248142
13,sub7.txt,7,-0.0589888395508153,0.08630572396131704,-0.031123689145079517,0.037208857434104944,False,True,0.0589888395508153,0.031123689145079517
13,sub7.txt,8,0.17182153349941706,0.6006976080929141,-0.1378290159038822,0.26185665801535957,True,True,0.17182153349941706,0.1378290159038822
14,sub8.txt,1,-0.04449895806232745,0.10904494365087479,0.012230015973331482,0.006442048973748726,False,False,0.04449895806232745,0.012230015973331482
14,sub8.txt,2,-0.033502581775604286,0.06123906442965448,-0.0017848461698729077,0.00016763304101204905,False,True,0.033502581775604286,0.0017848461698729077
14,sub8.txt,3,0.053583117556605254,0.5750566759001483,-0.08529064518369331,0.08793000104940837,True,True,0.053583117556605254,0.08529064518369331
14,sub8.txt,4,-0.018090702514599797,0.060826496090382744,-0.12266824085005902,0.1684919970865127,False,True,0.018090702514599797,0.12266824085005902
14,sub8.txt,5,0.05782095158511428,0.37234673055523754,-0.2685672616153899,0.6314622320315805,True,True,0.05782095158511428,0.2685672616153899
14,sub8.txt,6,0.10742012315709844,0.4175246510586826,-0.08742273769011737,0.25000244336717703,True,True,0.10742012315709844,0.08742273769011737
14,sub8.txt,7,0.05837300776538191,0.2041743185264025,-0.1032606431002153,0.166523141124852,True,True,0.05837300776538191,0.1032606431002153
14,sub8.txt,8,-0.004470771361858453,0.0008926143232074276,-0.030953538440169452,0.028874190728518108,False,True,0.004470771361858453,0.030953538440169452
15,sub9.txt,1,0.15835980296078261,0.7636672731408218,-0.0015556635877491494,0.00014868312653317815,True,True,0.15835980296078261,0.0015556635877491494
15,sub9.txt,2,0.08467283195818034,0.5158643251504524,-0.0023091881380651437,0.0002527344180470082,True,True,0.08467283195818034,0.0023091881380651437
15,sub9.txt,3,0.07282349178501557,0.4166870748509684,-0.032377248420029175,0.024754990947198192,True,True,0.07282349178501557,0.032377248420029175
15,sub9.txt,4,0.018893717314129168,0.24580459357950943,-0.05610459059656921,0.06401173185400715,True,True,0.018893717314129168,0.05610459059656921
15,sub9.txt,5,0.06767320472327853,0.6528958074719892,-0.08696437252586986,0.18138279273930114,True,True,0.06767320472327853,0.08696437252586986
15,sub9.txt,6,0.1159899327200819,0.31414301848669796,-0.07953330092367523,0.19649968980366078,True,True,0.1159899327200819,0.07953330092367523
15,sub9.txt,7,0.1502171309367087,0.3022142470665351,-0.0062539065212862035,0.0006068716868555665,True,True,0.1502171309367087,0.0062539065212862035
15,sub9.txt,8,0.15527141690720378,0.4969598305478472,-0.04868740884783665,0.07402379019576606,True,True,0.15527141690720378,0.04868740884783665
